"Age","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","EmployeeFeedback"
"28","Travel_Rarely","883","Research & Development","27","5","Technical Degree","1040","1","Female","50","2","5","Laboratory Technician","2","Single","5865","19419","4","No","22","4","3","3","7","3","1","9","3","4","5","Needs more recognition from management."
"29","Travel_Frequently","920","Sales","5","1","Human Resources","1041","2","Male","55","3","1","Software Engineer","1","Married","4200","19840","5","Yes","23","3","4","0","9","4","2","1","1","0","1","Needs better growth opportunities."
"30","Non-Travel","957","Human Resources","12","2","Other","1042","3","Female","60","4","2","Data Analyst","2","Divorced","5635","20261","6","No","24","3","1","1","11","5","3","3","3","1","0","Satisfied with current team and role."
"31","Travel_Rarely","994","Research & Development","24","3","Life Sciences","1043","4","Male","65","1","3","Sales Executive","3","Single","7570","20682","0","Yes","11","4","2","2","13","0","4","5","0","2","1","Workload has been high recently."
"32","Travel_Frequently","1031","Sales","8","4","Medical","1044","1","Female","70","2","4","Research Scientist","4","Married","5005","3103","1","No","12","2","3","3","15","1","1","2","1","3","2","Interested in flexible work options."
"33","Non-Travel","1068","Human Resources","31","5","Marketing","1045","2","Male","75","3","5","Human Resources","2","Divorced","4440","3524","2","Yes","13","3","4","0","17","2","2","8","2","4","3","Compensation expectations should be reviewed."
"34","Travel_Rarely","1105","Research & Development","16","1","Technical Degree","1046","3","Female","80","4","1","Manager","3","Single","9175","3945","3","No","14","4","1","1","19","3","3","10","3","0","4","Strong performer with retention potential."
"35","Travel_Frequently","1142","Sales","22","2","Human Resources","1047","4","Male","85","1","2","Quality Assurance Engineer","1","Married","6710","4366","4","No","15","3","2","2","21","4","4","4","4","1","4","Commute is becoming difficult."
"36","Non-Travel","1179","Human Resources","4","3","Other","1048","1","Female","90","2","3","Laboratory Technician","4","Divorced","4945","4787","5","No","16","3","3","3","23","5","1","6","5","2","6","Needs more recognition from management."
"37","Travel_Rarely","1216","Research & Development","18","4","Life Sciences","1049","2","Male","35","3","4","Software Engineer","3","Single","8480","5208","6","Yes","17","2","4","0","1","0","2","7","0","3","0","Needs better growth opportunities."
"38","Travel_Frequently","1253","Sales","27","5","Medical","1050","3","Female","40","4","5","Data Analyst","2","Married","6215","5629","0","Yes","18","4","1","1","3","1","3","9","1","4","1","Satisfied with current team and role."
